latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
41.96621,-87.69021,Lincoln Square,Entire rental unit,Entire home/apt,,3,1.0,1.0,150.0,No rating
41.8963634,-87.6266788,Near North Side,Entire rental unit,Entire home/apt,4.77,7,2.0,5.0,385.0,4.7-4.8
41.76384,-87.60246,Greater Grand Crossing,Entire rental unit,Entire home/apt,4.74,6,3.0,4.0,109.0,4.7-4.8
41.91506129216806,-87.68786706586056,Logan Square,Entire home,Entire home/apt,4.87,14,4.0,9.0,1045.0,4.8-4.9
41.8963634,-87.6266788,Near North Side,Entire rental unit,Entire home/apt,4.71,8,3.0,5.0,577.0,4.7-4.8
41.8963634,-87.6266788,Near North Side,Entire rental unit,Entire home/apt,4.63,14,4.0,10.0,745.0,4.6-4.7
41.86920517027099,-87.77341756236608,Austin,Entire rental unit,Entire home/apt,4.0,10,5.0,6.0,545.0,3.5-4.0
41.93601,-87.7247,Avondale,Entire rental unit,Entire home/apt,4.91,2,1.0,2.0,129.0,4.9-5.0
41.95036,-87.65299,Lake View,Entire rental unit,Entire home/apt,4.98,11,3.0,8.0,750.0,4.9-5.0
41.88148212188867,-87.68349060504812,Near West Side,Entire condo,Entire home/apt,4.94,10,2.0,6.0,162.0,4.9-5.0
41.88191,-87.68145,Near West Side,Entire rental unit,Entire home/apt,4.97,8,2.0,4.0,162.0,4.9-5.0
41.882005022223005,-87.68319235451155,Near West Side,Entire rental unit,Entire home/apt,4.98,10,2.0,6.0,148.0,4.9-5.0
41.8670646,-87.6231114,Near South Side,Entire rental unit,Entire home/apt,4.0,2,1.0,1.0,127.0,3.5-4.0
41.886064,-87.624718,Loop,Entire rental unit,Entire home/apt,5.0,2,1.0,1.0,138.0,4.9-5.0
41.75374,-87.72974,West Lawn,Entire rental unit,Entire home/apt,4.17,6,2.0,2.0,56.0,4.0-4.25
41.81661915757147,-87.5986486177164,Kenwood,Private room in condo,Private room,4.83,3,3.0,1.0,100.0,4.8-4.9
41.81872284748064,-87.62333308070546,Grand Boulevard,Entire rental unit,Entire home/apt,4.38,2,1.0,2.0,132.0,4.25-4.5
41.76778,-87.61922,Greater Grand Crossing,Entire rental unit,Entire home/apt,4.0,14,2.0,2.0,271.0,3.5-4.0
41.79275236439078,-87.67224111075559,West Englewood,Private room in condo,Private room,4.67,4,1.0,2.0,47.0,4.6-4.7
41.86238,-87.7326,North Lawndale,Private room in condo,Private room,4.2,2,1.0,1.0,46.0,4.0-4.25
